╔══════════════════════════════════════════════════════════════════════════════╗
║                    ZPL/EPL Rendering Diff Report                            ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ Name                           │ Ext  │    Diff% │   Actual(WxH) │ Expected(WxH) │ Status       ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ amazon                         │ zpl  │    5.16% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ aztec_ec                       │ zpl  │    9.82% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ barcode128_default_width       │ zpl  │    0.60% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_line                │ zpl  │    0.19% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_line_above          │ zpl  │    0.23% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_mode_a              │ zpl  │    0.60% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_mode_d              │ zpl  │    2.78% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ barcode128_mode_n              │ zpl  │    0.60% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_mode_n_cba_sets     │ zpl  │    1.42% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ barcode128_mode_u              │ zpl  │    3.20% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ barcode128_rotated             │ zpl  │    0.20% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ bstc                           │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ dbs                            │ zpl  │    8.79% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ dhlecommercetr                 │ zpl  │    5.05% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ dhlpaket                       │ zpl  │    8.05% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ dhlparceluk                    │ zpl  │    5.36% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ dpdpl                          │ zpl  │    6.82% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ dpduk                          │ epl  │    5.83% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ ean13                          │ zpl  │    0.82% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ encodings_013                  │ zpl  │    1.73% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ fedex                          │ zpl  │    7.13% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ gb_0_height                    │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ gb_0_width                     │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ gb_normal                      │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ gb_rounded                     │ zpl  │    0.05% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ glscz                          │ zpl  │    3.65% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ glsdk_return                   │ zpl  │    6.91% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ gs                             │ zpl  │    0.46% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ icapaket                       │ zpl  │    4.63% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ jcpenney                       │ zpl  │    6.13% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ kmart                          │ zpl  │    7.32% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ labelary                       │ zpl  │    9.25% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ pnldpd                         │ zpl  │   12.54% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ pocztex                        │ zpl  │    7.25% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ porterbuddy                    │ zpl  │   13.21% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ posten                         │ zpl  │    4.44% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ qr_code_ft_manual              │ zpl  │    1.96% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ qr_code_offset                 │ zpl  │    1.44% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ return_qrcode                  │ zpl  │    5.33% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ reverse                        │ zpl  │    0.75% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ reverse_qr                     │ zpl  │    4.41% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ swisspost                      │ zpl  │    1.55% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ templating                     │ zpl  │    4.76% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ text_fallback_default          │ zpl  │   46.81% │      813x1626 │     1280x1840 │ HIGH(>=15%)  ║
║ text_fo_b                      │ zpl  │    0.11% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_fo_i                      │ zpl  │    0.11% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_fo_n                      │ zpl  │    0.10% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_fo_r                      │ zpl  │    0.11% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_ft_auto_pos               │ zpl  │    1.40% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ text_ft_b                      │ zpl  │    0.04% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_ft_i                      │ zpl  │    0.04% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_ft_n                      │ zpl  │    0.15% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_ft_r                      │ zpl  │    0.15% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_multiline                 │ zpl  │    0.60% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ ups                            │ zpl  │    6.68% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ ups_surepost                   │ zpl  │   10.18% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ usps                           │ zpl  │    5.48% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ Summary: 57 total │ 4 perfect │ 19 good │ 13 minor │ 20 moderate │ 1 high │ 0 skip │ 0 err
╚══════════════════════════════════════════════════════════════════════════════╝
