╔══════════════════════════════════════════════════════════════════════════════╗
║                        Labels Diff Report (813×1626)                         ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ Name                           │ Ext  │    Diff% │   Actual(WxH) │ Expected(WxH) │ Status       ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ amazon                         │ zpl  │    1.34% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ amazonshipping                 │ zpl  │    2.45% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ auspost                        │ zpl  │    2.29% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ bpost                          │ zpl  │    2.08% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ brtit                          │ zpl  │    2.02% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ bstc                           │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ canadapost                     │ zpl  │    2.47% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ colissimo                      │ zpl  │    2.36% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ correos                        │ zpl  │    2.22% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dbs                            │ zpl  │    2.22% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dbschenker                     │ zpl  │    3.00% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhl_express                    │ zpl  │    1.50% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhl_home_delivery              │ zpl  │    2.13% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhlecommercetr                 │ zpl  │    2.54% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhlpaket                       │ zpl  │    1.74% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhlparcelit                    │ zpl  │    4.46% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhlparceluk                    │ zpl  │    4.89% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dpdde                          │ zpl  │    2.85% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dpdpl                          │ zpl  │    6.17% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ dpduk                          │ epl  │    4.53% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ evri                           │ zpl  │    1.64% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ fedex                          │ zpl  │    5.25% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ fedex_express                  │ zpl  │   12.12% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ fedex_ground                   │ zpl  │   10.10% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ glscz                          │ zpl  │    2.27% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ glsdk_return                   │ zpl  │    2.84% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ icapaket                       │ zpl  │    3.41% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ inpost                         │ zpl  │    3.29% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ jcpenney                       │ zpl  │    3.37% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ kmart                          │ zpl  │    4.65% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ labelary                       │ zpl  │    2.11% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ ontrac                         │ zpl  │    2.20% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ pnldpd                         │ zpl  │    7.98% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ pocztex                        │ zpl  │    2.76% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ porterbuddy                    │ zpl  │    5.96% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ posteit                        │ zpl  │    3.81% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ posten                         │ zpl  │    1.38% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ postnl                         │ zpl  │    2.07% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ purolator                      │ zpl  │    2.21% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ royalmail                      │ zpl  │    1.75% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ seur                           │ zpl  │    2.60% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ swisspost                      │ zpl  │    1.00% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ tnt_express                    │ zpl  │    2.99% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ ups                            │ zpl  │    3.56% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ ups_import_control             │ zpl  │    9.11% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ ups_surepost                   │ zpl  │    4.37% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ usps                           │ zpl  │    3.01% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ usps_apo                       │ zpl  │    8.48% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ usps_intl                      │ zpl  │    7.54% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ yodel                          │ zpl  │    1.98% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ Summary: 50 total │ 1 perfect │ 0 good │ 40 minor │ 9 moderate │ 0 high │ 0 skip │ 0 err
╚══════════════════════════════════════════════════════════════════════════════╝
